,Player,Pos,Age,Tm,Salary,Ensemble,Value Diff,LinReg,SVM,LogReg,Bayes,DecTree,Forest
0,Steven Adams,5,26,OKC,25842697,11395323,-14447374,12674606,4696874,1471382,22642350,10000000,12285779
1,Bam Adebayo,4,22,MIA,3454080,16668311,13214231,17629210,6434520,23775506,21165675,26540100,17997756
2,LaMarcus Aldridge,5,34,SAS,26000000,20496126,-5503874,14136832,20575005,22116750,23775506,5519400,15030118
3,Nickeil Alexander-Walker,2,21,NOP,2964840,1624147,-1340693,3054399,1914480,77250,1312611,1733880,2616939
4,Grayson Allen,2,24,MEM,2429400,2767794,338394,5498812,2795000,77250,2500000,7250000,4445625
5,Jarrett Allen,5,21,BRK,2376840,10521915,8145075,12167003,2034120,1471382,22642350,13528090,13200753
6,Kadeem Allen,1,27,NYK,79568,2585743,2506175,2716219,2100000,77250,4449000,1350120,1887131
7,Al-Farouq Aminu,4,29,ORL,9258000,2287812,-6970188,6073294,1991520,77250,1312611,1312611,10020259
8,Kyle Anderson,3,26,MEM,9073050,7994958,-1078092,6314489,16000000,1312611,5782450,1952760,6184361
9,Ryan Anderson,5,31,HOU,5714583,1463996,-4250587,2901948,1180080,77250,1579440,1410598,1197537
10,Giannis Antetokounmpo,4,25,MIL,25842697,25473374,-369323,24594069,25434263,26540100,25467250,23775506,23321493
11,Kostas Antetokounmpo,4,22,LAL,79568,1302166,1222598,874038,3750000,77250,76236,3750000,1327201
12,Thanasis Antetokounmpo,3,27,MIL,1445697,1087995,-357702,313131,2360160,77250,1050961,1500000,1602594
13,Carmelo Anthony,4,35,POR,2159029,13633959,11474930,9848302,26243760,1312611,12000000,6700800,6630487
14,OG Anunoby,3,22,TOR,2281800,10024585,7742785,8409081,14087500,10000000,7400000,12078652,8716683
15,Ryan Arcidiacono,1,25,CHI,3000000,1664486,-1335514,3292892,2393887,77250,838464,1312611,4243929
16,Trevor Ariza,3,34,TOT,12200000,6380101,-5819899,7996271,2368327,8000000,8000000,8000000,5108974
17,DJ Augustin,1,32,ORL,7250000,6296711,-953289,9092837,7250000,77250,7250000,3382000,7384350
18,Deandre Ayton,5,21,PHO,9562920,8777294,-785626,14345347,2299080,22116750,2947304,2299080,14299480
19,Dwayne Bacon,2,24,CHO,1618520,1334809,-283711,4004473,165887,77250,1349383,1238464,2303005
20,Lonzo Ball,1,22,NOP,8719320,10961965,2242645,13668609,6286560,10000000,14000000,22434783,9812400
21,Mo Bamba,5,21,ORL,5697600,4454999,-1242601,4001398,10577466,77250,1757429,1496500,5102234
22,Harrison Barnes,4,27,SAC,24147727,15423514,-8724213,12983859,17745894,12000000,17000000,10464092,16394463
23,RJ Barrett,2,19,NYK,7839960,8485462,645502,9208298,8808989,1312611,12000000,30769231,15068657
24,Will Barton,3,29,DEN,12776786,16601740,3824954,13111907,21590909,12000000,17145838,8333333,7039417
25,Keita Bates-Diop,PF-SF,24,TOT,1416852,1902445,485593,5285932,1015696,77250,1512601,2760094,2299988
26,Nicolas Batum,3,31,CHO,25565217,2391427,-23173790,6143538,2300000,77250,1312611,9530000,9562094
27,Aron Baynes,5,33,PHO,5453280,4105127,-1348153,6011851,4350000,77250,5000000,15460675,7281599
28,Kent Bazemore,3,30,TOT,19269663,4809499,-14460164,4927067,6796117,1312611,5000000,5200000,7666463
29,Darius Bazley,4,19,OKC,2284800,3826664,1541864,5862027,2534280,77250,5881260,1906440,4108618
30,Bradley Beal,2,26,WAS,27093018,16684227,-10408791,19984215,6587131,12000000,26540100,24328425,19347825
31,Malik Beasley,2,23,TOT,2731713,5647992,2916279,6310887,3517200,77250,10500000,3210840,5575111
32,Marco Belinelli,2,33,SAS,5846154,1951055,-3895099,4694701,2161886,77250,1015696,3290000,3333558
33,Jordan Bell,5,25,TOT,1620564,1269480,-351084,3177005,874636,77250,1050961,1544951,3141089
34,Dragan Bender,PF-C,22,TOT,1678854,3023065,1344211,4492185,1709538,77250,5000000,13565218,5419680
35,Davis Bertans,4,27,WAS,7000000,13705037,6705037,10543507,18735364,12000000,12250000,8400000,10794620
36,Patrick Beverley,1,31,LAC,12345680,7466214,-4879466,7745617,5027028,10000000,8000000,11131368,6625710
37,Khem Birch,5,27,ORL,3000000,5012085,2012085,5183349,73528,77250,12400000,16400000,10595240
38,Goga Bitadze,5,20,IND,2816760,1186649,-1630111,878971,2516047,77250,838464,1544951,1457727
39,Bismack Biyombo,5,27,CHO,17000000,3125573,-13874427,5760640,4823621,77250,1600520,12267606,8257914
40,Nemanja Bjelica,4,31,SAC,6825000,8427408,1602408,10337807,12000000,10000000,2898000,12007169,9466088
41,Eric Bledsoe,1,30,MIL,15625000,11233395,-4391605,12175442,14000000,1312611,14000000,1544951,11047363
42,Bogdan Bogdanovic,2,27,SAC,8529386,13022553,4493167,9620840,17043478,12000000,12250000,5332800,10860720
43,Bojan Bogdanovic,3,30,UTA,17000000,9515766,-7484234,14258529,1689840,12000000,12000000,3833760,13955389
44,Bol Bol,4,20,DEN,79568,4701033,4621465,3086884,541170,77250,12400000,1512601,2068581
45,Jonah Bolden,5,24,TOT,1698450,359462,-1338988,-25206,77250,77250,1050000,5460000,1581234
46,Jordan Bone,1,22,DET,79568,621206,541638,619799,1569360,77250,76236,2328652,1113910
47,Isaac Bonga,3,20,WAS,1416852,5965261,4548409,3461926,4661280,77250,12400000,9607500,4656409
48,Devin Booker,2,23,PHO,27285000,15383702,-11901298,18291960,3314365,12000000,26540100,26153057,19176593
49,Chris Boucher,5,27,TOR,1588231,5779593,4191362,4577916,15170787,77250,1378242,1496500,4989645
50,Brian Bowen,3,21,IND,79568,293253,213685,1093739,77250,77250,77250,77250,1074647
51,Ky Bowman,1,22,GSW,79568,4507603,4428035,4509395,2512601,77250,9000000,1349383,2939228
52,Avery Bradley,2,29,LAL,6767000,4513593,-2253407,4229312,9000000,1312611,2500000,8653076,7523764
53,Tony Bradley,5,22,UTA,1962360,2857023,894663,3292037,5955760,77250,1378242,486892,3660334
54,Jarrell Brantley,4,23,UTA,79568,1664297,1584729,2454801,3333333,77250,543471,800000,2175658
55,Ignas Brazdeikis,3,21,NYK,898310,846833,-51477,949406,600000,77250,1465920,4666500,619045
56,Mikal Bridges,3,23,PHO,4161000,8220002,4059002,7692944,3557400,8000000,13000000,8000000,7154780
57,Miles Bridges,3,21,CHO,3755400,6968823,3213423,9499516,2775000,1312611,12500000,2775000,10041793
58,Oshae Brissett,3,21,TOR,79568,1017018,937450,1427651,838464,77250,1465920,4666500,1335780
59,Ryan Broekhoff,3,29,DAL,1416852,1629355,212503,3436591,2165481,77250,838464,77250,1929601
60,Malcolm Brogdon,1,27,IND,20000000,8752524,-11247476,14981275,5470920,1312611,12000000,10500000,13464898
61,Dillon Brooks,2,24,MEM,1618520,8638421,7019901,5475562,12100000,1312611,12000000,5922720,6007448
62,Bruce Brown,1,23,DET,1416852,6924463,5507611,7600437,10763500,1312611,6300000,2151704,5332401
63,Charlie Brown,2,22,ATL,79568,1044442,964874,37722,1837800,77250,1579440,2247480,957126
64,Jaylen Brown,2,23,BOS,6534829,12616359,6081530,13096594,13333333,12000000,12000000,14100000,7864761
65,Moses Brown,5,20,POR,79568,1677392,1597824,114889,4666500,77250,950000,1223653,1668091
66,Sterling Brown,3,24,MIL,1618520,1433472,-185048,4622656,607491,77250,838464,77250,2153228
67,Jalen Brunson,1,23,DAL,1416852,4988558,3571706,6322373,9367200,77250,3000000,1942422,1965780
68,Thomas Bryant,5,22,WAS,8000000,14109075,6109075,10829208,15500000,1471382,22642350,12500000,9299378
69,Reggie Bullock,2,28,NYK,4000000,4324785,324785,4430831,9000000,77250,2500000,1705920,7152166
70,Trey Burke,1,27,TOT,2028594,3117055,1088461,4468343,4227996,77250,3000000,2393887,3908164
71,Alec Burks,SF-SG,28,TOT,2320044,13880167,11560123,11761776,22642350,1312611,14800000,3533333,9187542
72,Deonte Burton,3,26,OKC,1416852,2183866,767014,1171586,6088993,77250,543471,874636,2108955
73,Jimmy Butler,3,30,MIA,32742000,22951460,-9790540,20263747,18696918,26540100,26540100,18696918,18141207
74,Bruno Caboclo,5,24,TOT,1845301,1289349,-555952,1291164,2568600,77250,838464,1544951,1779396
75,Kentavious Caldwell-Pope,2,26,LAL,8089282,4917874,-3171408,5367106,2500000,1312611,9000000,12500000,7463025
76,Vlatko Cancar,4,22,DEN,898310,283502,-614808,70277,177250,77250,650000,1312611,1182901
77,Clint Capela,5,25,HOU,16896552,17223900,327348,15716260,8175840,23775506,22642350,8175840,14836631
78,DeMarre Carroll,SF-C,33,TOT,7000000,2080309,-4919691,2709792,1378242,77250,3500000,5450000,2620022
79,Jevon Carter,1,24,PHO,1416852,2073726,656874,3697620,2255644,77250,2000000,2328652,3418358
80,Vince Carter,4,43,ATL,2564753,884511,-1680242,2449848,304051,77250,838464,2904480,1812053
81,Michael Carter-Williams,2,28,ORL,2028594,2813543,784949,5507386,230399,77250,5000000,3440356,4342401
82,Alex Caruso,1,25,LAL,2750000,3708679,958679,3998615,8105615,77250,1645200,1577280,2697581
83,Willie Cauley-Stein,5,26,TOT,2177483,4952348,2774865,5723539,8393000,77250,4187599,8393000,8461356
84,Tyson Chandler,5,37,HOU,2564753,991194,-1573559,1739656,1078810,77250,950000,384116,1895253
85,Wilson Chandler,4,32,BRK,2564753,1983516,-581237,4705547,1512601,77250,1709538,2500000,3367781
86,Joe Chealey,1,24,CHO,50000,598169,548169,485534,1455492,77250,198579,77250,696484
87,Zylan Cheatham,4,24,NOP,79568,6211620,6132052,734623,20421546,77250,543471,838464,4452657
88,Chris Chiozza,1,24,TOT,79568,1900332,1820764,4098920,2100000,77250,1315448,2000000,3121755
89,Marquese Chriss,4,22,GSW,1678854,2902782,1223928,7872308,1024000,77250,2947304,1312611,5356295
90,Gary Clark,SF-PF,25,TOT,1416852,1205216,-211636,3458365,674122,77250,838464,6134000,2369619
91,Brandon Clarke,4,23,MEM,2478840,7583398,5104558,9251611,16900000,1471382,1544951,16910112,6038419
92,Jordan Clarkson,2,27,TOT,13437500,5703551,-7733949,8071894,234920,77250,12500000,10500000,10553274
93,Nicolas Claxton,5,20,BRK,898310,2313660,1415350,3807913,1378242,77250,3500000,2350999,4254260
94,Chris Clemons,2,22,HOU,79568,714482,634914,1353874,1350120,77250,77250,1512601,2242167
95,Antonius Cleveland,2,25,DAL,79568,546419,466851,266374,1569360,77250,77250,77250,1065287
96,Amir Coffey,2,22,LAC,79568,676777,597209,749248,838464,77250,838464,449794,1223389
97,John Collins,4,22,ATL,2686560,15871818,13185258,14613776,2299080,22116750,25467250,12250000,6194583
98,Zach Collins,4,22,POR,4240200,8189618,3949418,5675310,18000000,1312611,5000000,5027028,6842794
99,Mike Conley,1,32,UTA,32511623,12141029,-20370594,9710715,18109175,1312611,14800000,9000000,11343009
100,Pat Connaughton,2,27,MIL,1723050,2646209,923159,6737528,2000000,77250,2000000,13565218,3910258
101,Quinn Cook,1,26,LAL,3000000,2154771,-845229,3016425,1410598,77250,3500000,1512601,1561122
102,Tyler Cook,PF-SF,22,TOT,79568,5558480,5478912,657337,17765000,77250,950000,815615,920020
103,Robert Covington,PF-C,29,TOT,11301219,11164650,-136569,9127766,12250000,10000000,12250000,5513514,7405886
104,Allen Crabbe,SG-SF,27,TOT,18500000,4344984,-14155016,3632387,7119650,77250,4837500,10500000,3715658
105,Torrey Craig,3,29,DEN,2000000,2623275,623275,3029051,4661280,77250,2000000,1291892,3042345
106,Jae Crowder,SF-PF,29,TOT,7815533,11659072,3843539,10365489,14087500,8000000,12500000,14200000,9840939
107,Jarrett Culver,2,20,MIN,5813640,9558565,3744925,4944682,24107258,77250,5000000,9173294,8609864
108,Seth Curry,2,29,DAL,7461380,5471825,-1989555,7840531,1773840,77250,10500000,7305825,7789380
109,Stephen Curry,1,31,GSW,40231758,9325072,-30906686,14626144,7019698,2393887,12000000,86118,10405947
110,Troy Daniels,2,28,TOT,2028594,3050340,1021746,2021570,3807146,77250,4837500,77250,855633
111,Anthony Davis,4,26,LAL,27093019,23971421,-3121598,21533945,22471911,26540100,25467250,23114066,21415231
112,Ed Davis,5,30,UTA,4767000,1713146,-3053854,1861355,3500000,77250,950000,309859,2273994
113,Terence Davis,2,22,TOR,898310,2296415,1398105,5459501,1619260,77250,2100000,3440356,5022687
114,Dewayne Dedmon,5,30,TOT,13333334,2794330,-10539004,3144208,4743000,77250,2393887,4863206,7100057
115,Matthew Dellavedova,1,29,CLE,9607500,3648149,-5959351,3246062,7708427,77250,2328652,449794,1960278
116,DeMar DeRozan,3,30,SAS,27739975,18864436,-8875539,16036869,20093064,12000000,23775506,5374320,14877919
117,Cheick Diallo,5,23,PHO,1678854,1235748,-443106,2771810,1312611,77250,815615,1471382,4823013
118,Hamidou Diallo,3,21,OKC,1416852,7468172,6051320,3223207,22116750,77250,1312611,6000000,3086106
119,Gorgui Dieng,5,30,TOT,16229213,4090393,-12138820,6356194,8375000,77250,1015696,3628920,4625681
120,Spencer Dinwiddie,1,26,BRK,10605600,10493568,-112032,13890001,5363280,12000000,12000000,8641000,10106506
121,Donte DiVincenzo,2,23,MIL,2905800,6797518,3891718,8420162,6500000,77250,10000000,1312611,5810628
122,Luka Doncic,1,20,DAL,7683360,26800718,19117358,25386314,28299399,26540100,26540100,26540100,25946998
123,Luguentz Dort,3,20,OKC,79568,1686030,1606462,2441221,2365560,77250,1512601,2440200,5699237
124,Damyean Dotson,2,25,NYK,1618520,1750365,131845,4570263,1015696,77250,1512601,3290000,3134653
125,Sekou Doumbouya,4,19,DET,3285120,1726707,-1558413,2825763,2440200,77250,1312611,77250,2896165
126,PJ Dozier,2,23,DEN,79568,1257248,1177680,2748606,380830,77250,1757429,1378242,1787101
127,Goran Dragic,1,33,MIA,19217900,11261007,-7956893,11128907,17043478,1312611,12000000,5332800,12104262
128,Andre Drummond,5,26,TOT,27093018,22327733,-4765285,17157609,25434262,23775506,22116750,2299080,17431483
129,Jared Dudley,4,34,LAL,2564753,921199,-1643554,1405380,1524305,77250,543471,1524305,2267140
130,Kris Dunn,1,25,CHI,5348007,3747454,-1600553,4441547,7945000,1312611,874636,19000000,5092162
131,Carsen Edwards,2,21,BOS,1228026,1158723,-69303,1401790,1410598,77250,1410598,1015696,1403866
132,Henry Ellenson,5,23,BRK,79568,412435,332867,881186,650000,77250,76236,365289,216427
133,Wayne Ellington,2,32,NYK,8000000,1784715,-6215285,3736273,2484360,77250,838464,2639313,2871497
134,Joel Embiid,5,25,PHI,27504630,18178788,-9325842,18863713,6100266,23775506,25467250,18868626,14130463
135,James Ennis,SF-SG,29,TOT,1882867,1858347,-24520,4139687,1709538,77250,1512601,77250,2579919
136,Drew Eubanks,5,22,SAS,79568,1607423,1527855,3446820,2106470,77250,815615,1312611,4219708
137,Jacob Evans,2,22,TOT,1928280,1931030,2750,2529826,3909840,77250,815615,2112480,1583390
138,Dante Exum,2,24,TOT,9600000,1837457,-7762543,3327126,77250,77250,3500000,3333333,2389197
139,Tacko Fall,5,24,BOS,79568,345047,265479,-519773,1450000,77250,77250,2116955,4635965
140,Derrick Favors,5,28,NOP,17650000,6810523,-10839477,10962957,11422536,1471382,2947304,1551659,14309228
141,Cristiano Felicio,5,27,CHI,8156500,5421748,-2734752,5039420,13585000,77250,1378242,12400000,6993848
142,Terrance Ferguson,3,21,OKC,2475840,4479324,2003484,805850,12763467,2500000,543471,3500000,6263051
143,Bruno Fernando,5,21,ATL,1400000,1267326,-132674,2234708,1794600,77250,838464,1794600,5077748
144,Yogi Ferrell,1,26,SAC,3150000,1088582,-2061418,2333311,1100000,77250,838464,1350120,1305263
145,Dorian Finney-Smith,4,26,DAL,4000000,10021364,6021364,8786078,14087500,8000000,8333333,2205000,8711939
146,Bryn Forbes,2,26,SAS,2875000,3872689,997689,6153998,6153846,77250,2500000,6000000,6370505
147,Evan Fournier,3,27,ORL,17000000,9286938,-7713062,10560748,3355320,12000000,12250000,12385665,9300930
148,De'Aaron Fox,1,22,SAC,6392760,17589769,11197009,13234746,15891725,12000000,25467250,5363280,9869457
149,Melvin Frazier,2,23,ORL,1416852,1382243,-34609,662008,1825200,77250,2247480,1378242,1125820
150,Michael Frazier,2,25,HOU,79568,490475,410907,157164,1455492,77250,77250,4347826,2839266
151,Tim Frazier,1,29,DET,1620564,2152839,532275,2914147,2752680,77250,2328652,1471382,2380643
152,Markelle Fultz,1,21,ORL,9745200,5306677,-4438523,8370470,1632480,1312611,9000000,11562500,5730988
153,Wenyen Gabriel,4,22,TOT,79568,709491,629923,903193,838464,77250,838464,877800,1552594
154,Daniel Gafford,5,21,CHI,898310,838393,-59917,1188251,77250,77250,1757429,543471,4764865
155,Danilo Gallinari,4,31,OKC,22615559,15561356,-7054203,15787893,21587579,12000000,12000000,24773250,15817184
156,Langston Galloway,2,28,DET,7333333,3007743,-4325590,7027101,2500000,77250,2500000,2500000,8632564
157,Darius Garland,2,20,CLE,6400920,4845794,-1555126,7755477,3744840,1312611,6000000,5513514,10518579
158,Marc Gasol,5,35,TOR,25595700,9785550,-15810150,8660140,5027028,8000000,16000000,5027028,8884182
159,Rudy Gay,4,33,SAS,14500000,4964358,-9535642,9146773,2847600,77250,7000000,1207194,8205081
160,Paul George,3,29,LAC,33005556,15333862,-17671694,15512296,21000000,12000000,12000000,14500000,16855874
161,Taj Gibson,5,34,NYK,9000000,6386520,-2613480,4350214,14112360,77250,4449000,3000000,3494675
162,Harry Giles,5,21,SAC,2578800,2247151,-331649,2563912,1034865,77250,4449000,2207040,3685118
163,Shai Gilgeous-Alexander,2,21,OKC,3952920,14981863,11028943,15111315,20072033,12000000,12000000,5374320,16121212
164,Rudy Gobert,5,27,UTA,24258427,15647538,-8610889,17262479,2121287,23775506,22116750,21224719,14230525
165,Brandon Goodwin,1,24,ATL,79568,1730517,1650949,2971243,1914480,77250,1709538,1914480,2931726
166,Aaron Gordon,4,24,ORL,19863636,14055506,-5808130,13767087,14800000,12000000,14800000,6700800,15872789
167,Eric Gordon,3,31,HOU,14057730,5932134,-8125596,7562475,1406520,77250,12500000,16517857,10422483
168,Treveon Graham,3,26,TOT,1645357,2910883,1265526,2798213,7119650,77250,815615,4837500,3230841
